"response_uuid","Age","Trial","target_prop"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","1",0.433
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","2",0.598
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","3",0.665
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","4",0.615
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","5",0.288
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","6",0.855
"036015a7-933e-4753-84c7-c76bec88a304","12","1",0.306
"036015a7-933e-4753-84c7-c76bec88a304","12","2",0.652
"036015a7-933e-4753-84c7-c76bec88a304","12","3",0.332
"036015a7-933e-4753-84c7-c76bec88a304","12","4",0.503
"036015a7-933e-4753-84c7-c76bec88a304","12","5",0.259
"036015a7-933e-4753-84c7-c76bec88a304","12","6",0.84
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","1",0.243
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","2",0.73
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","3",0.56
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","4",0.932
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","5",0.437
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","6",0.336
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","1",0.629
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","2",0.482
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","3",0.763
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","4",0.506
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","5",0.667
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","6",0.16
"06f52932-c87c-4815-adb9-52cc60998bd9","12","1",0.437
"06f52932-c87c-4815-adb9-52cc60998bd9","12","2",0.668
"06f52932-c87c-4815-adb9-52cc60998bd9","12","3",0.246
"06f52932-c87c-4815-adb9-52cc60998bd9","12","4",0.714
"06f52932-c87c-4815-adb9-52cc60998bd9","12","5",0.27
"06f52932-c87c-4815-adb9-52cc60998bd9","12","6",0.581
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","1",0.98
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","2",0.839
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","3",0.53
"095b6236-bad8-4356-8325-878f7a78c608","6","1",0.211
"095b6236-bad8-4356-8325-878f7a78c608","6","2",0.5
"095b6236-bad8-4356-8325-878f7a78c608","6","3",0.076
"095b6236-bad8-4356-8325-878f7a78c608","6","4",0.91
"095b6236-bad8-4356-8325-878f7a78c608","6","5",0.34
"095b6236-bad8-4356-8325-878f7a78c608","6","6",0.739
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","2",0.748
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","3",0.045
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","4",0.621
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","5",0.467
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","1",0.438
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","2",0.54
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","3",0.282
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","4",0.74
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","5",0.274
