"response_uuid","Trial","Usable frames (%)","has_icatcher","icatcher_file_names"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","1",0.705,TRUE,"11-test-trial-2_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315611577_676.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","2",0.524,TRUE,"11-test-trial-2_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315611577_676.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","3",0.665,TRUE,"11-test-trial-2_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315611577_676.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","4",0.805,TRUE,"11-test-trial-2_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315611577_676.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","5",0.6,TRUE,"11-test-trial-2_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315611577_676.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6",0.398,TRUE,"11-test-trial-2_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315611577_676.txt"
"036015a7-933e-4753-84c7-c76bec88a304","1",0.9,TRUE,"10-test-trial-1_036015a7-933e-4753-84c7-c76bec88a304_1695213506890_112.txt"
"036015a7-933e-4753-84c7-c76bec88a304","2",0.792,TRUE,"10-test-trial-1_036015a7-933e-4753-84c7-c76bec88a304_1695213506890_112.txt"
"036015a7-933e-4753-84c7-c76bec88a304","3",0.767,TRUE,"10-test-trial-1_036015a7-933e-4753-84c7-c76bec88a304_1695213506890_112.txt"
"036015a7-933e-4753-84c7-c76bec88a304","4",0.78,TRUE,"10-test-trial-1_036015a7-933e-4753-84c7-c76bec88a304_1695213506890_112.txt"
"036015a7-933e-4753-84c7-c76bec88a304","5",0.725,TRUE,"10-test-trial-1_036015a7-933e-4753-84c7-c76bec88a304_1695213506890_112.txt"
"036015a7-933e-4753-84c7-c76bec88a304","6",0.578,TRUE,"10-test-trial-1_036015a7-933e-4753-84c7-c76bec88a304_1695213506890_112.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","1",0.958,TRUE,"14-test-trial-3_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878772227_255.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","2",0.734,TRUE,"14-test-trial-3_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878772227_255.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","3",0.522,TRUE,"14-test-trial-3_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878772227_255.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","4",0.882,TRUE,"14-test-trial-3_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878772227_255.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","5",0.635,TRUE,"14-test-trial-3_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878772227_255.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","6",0.677,TRUE,"14-test-trial-3_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878772227_255.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","1",0.795,TRUE,"16-test-trial-4_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837819888_668.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","2",0.682,TRUE,"16-test-trial-4_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837819888_668.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","3",0.465,TRUE,"16-test-trial-4_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837819888_668.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","4",0.662,TRUE,"16-test-trial-4_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837819888_668.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","5",0.398,TRUE,"16-test-trial-4_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837819888_668.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",0.53,TRUE,"16-test-trial-4_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837819888_668.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","1",0.79,TRUE,"16-test-trial-4_06f52932-c87c-4815-adb9-52cc60998bd9_1694116514619_977.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","2",0.687,TRUE,"16-test-trial-4_06f52932-c87c-4815-adb9-52cc60998bd9_1694116514619_977.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","3",0.458,TRUE,"16-test-trial-4_06f52932-c87c-4815-adb9-52cc60998bd9_1694116514619_977.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","4",0.743,TRUE,"16-test-trial-4_06f52932-c87c-4815-adb9-52cc60998bd9_1694116514619_977.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","5",0.833,TRUE,"16-test-trial-4_06f52932-c87c-4815-adb9-52cc60998bd9_1694116514619_977.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","6",0.34,TRUE,"16-test-trial-4_06f52932-c87c-4815-adb9-52cc60998bd9_1694116514619_977.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","1",0.887,TRUE,"16-test-trial-4_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316957254_331.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","2",0.702,TRUE,"16-test-trial-4_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316957254_331.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","3",0.713,TRUE,"16-test-trial-4_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316957254_331.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","4",0.268,TRUE,"16-test-trial-4_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316957254_331.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","5",0.188,TRUE,"16-test-trial-4_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316957254_331.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6",0.245,TRUE,"16-test-trial-4_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695316957254_331.txt"
"095b6236-bad8-4356-8325-878f7a78c608","1",0.485,TRUE,"10-test-trial-1_095b6236-bad8-4356-8325-878f7a78c608_1697929878254_986.txt"
"095b6236-bad8-4356-8325-878f7a78c608","2",0.732,TRUE,"10-test-trial-1_095b6236-bad8-4356-8325-878f7a78c608_1697929878254_986.txt"
"095b6236-bad8-4356-8325-878f7a78c608","3",0.46,TRUE,"10-test-trial-1_095b6236-bad8-4356-8325-878f7a78c608_1697929878254_986.txt"
"095b6236-bad8-4356-8325-878f7a78c608","4",0.698,TRUE,"10-test-trial-1_095b6236-bad8-4356-8325-878f7a78c608_1697929878254_986.txt"
"095b6236-bad8-4356-8325-878f7a78c608","5",0.595,TRUE,"10-test-trial-1_095b6236-bad8-4356-8325-878f7a78c608_1697929878254_986.txt"
"095b6236-bad8-4356-8325-878f7a78c608","6",0.595,TRUE,"10-test-trial-1_095b6236-bad8-4356-8325-878f7a78c608_1697929878254_986.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","1",0,TRUE,"14-test-trial-3_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697145059672_759.txt"
