"response_uuid","Age","Trial","target_prop"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","1",0.736
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","10",0.655
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","2",0.921
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","3",0.977
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","4",0.542
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","5",0.549
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","6",0.464
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","7",0.829
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","8",0.721
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","9",0.837
"036015a7-933e-4753-84c7-c76bec88a304","12","1",0.394
"036015a7-933e-4753-84c7-c76bec88a304","12","10",0.021
"036015a7-933e-4753-84c7-c76bec88a304","12","2",0.451
"036015a7-933e-4753-84c7-c76bec88a304","12","3",0.305
"036015a7-933e-4753-84c7-c76bec88a304","12","4",0.267
"036015a7-933e-4753-84c7-c76bec88a304","12","5",0.295
"036015a7-933e-4753-84c7-c76bec88a304","12","6",0.738
"036015a7-933e-4753-84c7-c76bec88a304","12","8",0.532
"036015a7-933e-4753-84c7-c76bec88a304","12","9",0.079
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","1",0.638
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","10",0.834
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","2",0.53
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","3",0.456
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","4",0.465
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","5",0.925
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","6",0.448
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","7",0.775
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","8",0.602
"036e33eb-cca7-4d18-ab55-63c4c489229a","6","9",0.817
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","1",0.655
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","10",0.89
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","2",0.981
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","3",0.986
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","4",0.74
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","5",0.973
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","6",0.022
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","8",0.69
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","9",0.879
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","1",0.944
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","10",0.627
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","2",0.647
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","3",0.877
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","4",0.273
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","5",0.916
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","6",0.69
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","7",0.939
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","8",0.69
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6","9",0.919
"06f52932-c87c-4815-adb9-52cc60998bd9","12","1",0.313
"06f52932-c87c-4815-adb9-52cc60998bd9","12","10",0.794
"06f52932-c87c-4815-adb9-52cc60998bd9","12","2",0.51
"06f52932-c87c-4815-adb9-52cc60998bd9","12","4",0.46
"06f52932-c87c-4815-adb9-52cc60998bd9","12","5",0.712
"06f52932-c87c-4815-adb9-52cc60998bd9","12","6",0.701
"06f52932-c87c-4815-adb9-52cc60998bd9","12","8",0.792
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","1",0.681
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","2",0.615
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","4",0.29
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","7",0.729
"095b6236-bad8-4356-8325-878f7a78c608","6","10",0.853
"095b6236-bad8-4356-8325-878f7a78c608","6","2",0.714
"095b6236-bad8-4356-8325-878f7a78c608","6","3",0.986
"095b6236-bad8-4356-8325-878f7a78c608","6","4",0.728
"095b6236-bad8-4356-8325-878f7a78c608","6","5",0.895
"095b6236-bad8-4356-8325-878f7a78c608","6","6",0.933
"095b6236-bad8-4356-8325-878f7a78c608","6","7",0.748
"095b6236-bad8-4356-8325-878f7a78c608","6","8",0.434
"095b6236-bad8-4356-8325-878f7a78c608","6","9",0.811
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","1",0.978
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","2",0.82
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","4",0.771
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","5",0.85
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","6",0.828
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","7",0.809
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","8",0.858
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","9",0.82
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","2",0.312
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","3",0.683
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","4",0.88
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","5",0.901
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","6",0.92
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","1",0.777
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","10",0.877
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","2",0.627
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","3",0.851
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","4",0.755
