"response_uuid","Trial","Usable frames (%)","has_icatcher","icatcher_file_names"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","1",0.818,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","10",0.755,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","2",0.834,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","3",0.867,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","4",0.953,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","5",0.953,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6",0.902,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","7",1,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","8",0.987,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","9",0.934,TRUE,"9-test-trial-1_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315542774_749.txt"
"036015a7-933e-4753-84c7-c76bec88a304","1",0.892,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","10",0.777,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","2",0.808,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","3",0.547,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","4",0.805,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","5",0.98,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","6",0.824,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","7",0.322,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","8",0.745,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036015a7-933e-4753-84c7-c76bec88a304","9",0.503,TRUE,"12-test-trial-2_036015a7-933e-4753-84c7-c76bec88a304_1695213618650_216.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","1",0.878,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","10",0.951,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","2",0.987,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","3",0.907,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","4",0.953,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","5",0.987,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",0.935,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","7",0.671,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","8",0.859,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"036e33eb-cca7-4d18-ab55-63c4c489229a","9",0.94,TRUE,"12-test-trial-2_036e33eb-cca7-4d18-ab55-63c4c489229a_1701884779417_570.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","1",0.959,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","10",0.788,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","2",0.702,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","3",0.953,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","4",0.98,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","5",0.98,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","6",0.908,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","7",0.921,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","8",0.973,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","9",0.821,TRUE,"16-test-trial-4_04d5f486-93c0-4fa9-b2f8-d0abdef53e6c_1701878882186_422.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","1",0.973,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","10",0.902,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","2",0.901,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","3",0.973,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","4",0.96,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","5",0.96,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",0.928,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","7",0.974,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","8",0.953,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","9",0.98,TRUE,"12-test-trial-2_06593bf2-f310-46bb-8a43-9c72dc7811b0_1706837493736_915.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","1",0.905,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","10",0.951,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","2",0.987,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","3",1,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","4",0.846,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","5",0.886,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","6",0.895,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","7",0.289,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","8",0.966,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"06f52932-c87c-4815-adb9-52cc60998bd9","9",1,TRUE,"18-test-trial-5_06f52932-c87c-4815-adb9-52cc60998bd9_1694116624649_24.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","1",0.764,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","10",0,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","2",0.861,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","3",0.893,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","4",0.718,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","5",0,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6",0.007,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","7",0.632,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","8",0.067,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","9",0,TRUE,"18-test-trial-5_08eee7ba-ef32-489d-9d25-e6cd14a0b267_1695317065568_105.txt"
"095b6236-bad8-4356-8325-878f7a78c608","1",0.959,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","10",0.592,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","2",0.881,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","3",0.927,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","4",0.987,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","5",0.832,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","6",0.582,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","7",0.941,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","8",0.557,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"095b6236-bad8-4356-8325-878f7a78c608","9",0.841,TRUE,"12-test-trial-2_095b6236-bad8-4356-8325-878f7a78c608_1697929987024_840.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","1",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","10",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","2",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","3",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","4",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","5",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","6",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","7",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","8",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","9",0,TRUE,"12-test-trial-2_0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e_1697144990756_319.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","1",0.926,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","10",0.755,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","2",0.404,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","3",0.973,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","4",0.94,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","5",0.94,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","6",0.948,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","7",0.928,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","8",0.852,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","9",0.662,TRUE,"13-test-trial-3_0da636ec-fbd5-4f6b-9b7d-5fa0416da284_1690986616663_497.txt"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","1",0.959,TRUE,"14-test-trial-3_14bde937-9452-4ae0-a0ce-8553c2aa41e5_1712931887437_496.txt"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","10",0.576,TRUE,"14-test-trial-3_14bde937-9452-4ae0-a0ce-8553c2aa41e5_1712931887437_496.txt"
