"response_uuid","Age","Trial","target_prop","Stimulus type"
"3f7b7e18-3928-4322-9742-edbcbf580aeb","6","1",0.955,"Large Constant"
"be476632-1647-4ae8-8497-1d82d41d32b6","6","3",0.482,"Large Constant"
"3f7b7e18-3928-4322-9742-edbcbf580aeb","6","3",0.614,"Large Constant"
"dff41178-de67-4642-b884-f99a16e49bb5","12","2",0.728,"Large Constant"
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","1",0.716,"Large Constant"
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","3",0.264,"Large Constant"
"dff41178-de67-4642-b884-f99a16e49bb5","12","3",0.36,"Large Constant"
"095b6236-bad8-4356-8325-878f7a78c608","6","1",0.574,"Large Constant"
"95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6","3",0.541,"Large Constant"
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12","2",0.129,"Large Constant"
"095b6236-bad8-4356-8325-878f7a78c608","6","2",0.168,"Large Constant"
"dff41178-de67-4642-b884-f99a16e49bb5","12","1",0.17,"Large Constant"
"be476632-1647-4ae8-8497-1d82d41d32b6","6","2",0.005,"Large Constant"
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12","1",0.496,"Large Constant"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","1",0.228,"Large Constant"
"dff41178-de67-4642-b884-f99a16e49bb5","12","4",0.81,"Large Constant"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","2",0.379,"Large Constant"
"3f7b7e18-3928-4322-9742-edbcbf580aeb","6","4",0.415,"Large Constant"
"95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6","4",0.371,"Large Constant"
"c249ac99-7103-4d9f-a385-6433ef511b7a","6","1",0.82,"Large Constant"
"95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6","2",0.945,"Large Constant"
"095b6236-bad8-4356-8325-878f7a78c608","6","4",0.407,"Large Constant"
"95b2ce0f-c3c6-4de4-8d32-9f050ab5c501","6","1",0.154,"Large Constant"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","2",0.357,"Large Constant"
"be476632-1647-4ae8-8497-1d82d41d32b6","6","1",0.047,"Large Constant"
"da02ea62-68b6-4b32-965d-9676bd328193","12","4",0.235,"Large Constant"
"da02ea62-68b6-4b32-965d-9676bd328193","12","2",0.713,"Large Constant"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","2",0.735,"Large Constant"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","1",0.088,"Large Constant"
"e028c328-ed67-4893-bb83-7b2528bb3c3f","6","3",0.121,"Large Constant"
"da02ea62-68b6-4b32-965d-9676bd328193","12","1",0.366,"Large Constant"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","4",0.606,"Large Constant"
"a6141b72-7df0-44a4-9f7f-c1da97daae50","12","3",0.324,"Large Constant"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","1",0.688,"Large Constant"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","2",0.393,"Large Constant"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","3",0.916,"Large Constant"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","4",0.321,"Large Constant"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","3",0.332,"Large Constant"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","4",0.622,"Large Constant"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","4",0.865,"Large Constant"
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","2",0.927,"Large Constant"
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6","3",0.416,"Large Constant"
"06f52932-c87c-4815-adb9-52cc60998bd9","12","1",0.773,"Large Constant"
"06f52932-c87c-4815-adb9-52cc60998bd9","12","2",0.296,"Large Constant"
"06f52932-c87c-4815-adb9-52cc60998bd9","12","4",0.014,"Large Constant"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","1",0.863,"Large Constant"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","2",0.389,"Large Constant"
"e65cced6-5854-47c6-a74e-a20046fbdfb4","6","3",0.486,"Large Constant"
"0b01ad73-6636-4eb1-bd1c-7ee3f5744f5e","12","4",0.348,"Large Constant"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","1",0.862,"Large Constant"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","2",0.479,"Large Constant"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","3",0.551,"Large Constant"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12","4",0.431,"Large Constant"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6","1",0.305,"Large Constant"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6","2",0.855,"Large Constant"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6","4",0.618,"Large Constant"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","1",0.229,"Large Constant"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","2",0.063,"Large Constant"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","3",0.623,"Large Constant"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","3",0.738,"Large Constant"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","3",0.897,"Large Constant"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6","4",0.282,"Large Constant"
"48444209-fd3a-4173-8854-366e6f1bb582","12","1",0.851,"Large Constant"
"48444209-fd3a-4173-8854-366e6f1bb582","12","2",0.385,"Large Constant"
"48444209-fd3a-4173-8854-366e6f1bb582","12","3",0.816,"Large Constant"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","3",0.325,"Large Constant"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","2",0.5,"Large Constant"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","1",0.173,"Large Constant"
"ed8fc258-ab43-41e2-8294-5f349ef3d9c1","6","3",0.556,"Large Constant"
"aac0690d-0aa0-4ba1-923c-8d11717f228b","12","1",0.599,"Large Constant"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","3",0.417,"Large Constant"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12","2",0.423,"Large Constant"
"8a362df5-0bae-43b3-a757-fd160cf111aa","6","4",0.492,"Large Constant"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","1",0.272,"Large Constant"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12","2",0.675,"Large Constant"
"d7947371-1fbc-444b-9f5b-8c93452af17c","12","1",0.89,"Large Constant"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","1",0.349,"Small Constant"
"2b882a59-5857-481e-bda7-cdff7bd8f56e","12","3",0.721,"Small Constant"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12","4",0.074,"Small Constant"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12","4",0.233,"Small Constant"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12","2",0.758,"Small Constant"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6","3",0.529,"Small Constant"
