"response_uuid","Age","Trial Total","target_prop","Stimulus type"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","6",1,0.28,"Non-social"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",1,0.588,"Non-social"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",2,0.665,"Non-social"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",3,0.593,"Non-social"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",4,0.361,"Non-social"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",5,0.6055,"Social"
"036e33eb-cca7-4d18-ab55-63c4c489229a","6",6,0.413,"Social"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12",1,0.2515,"Non-social"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12",2,0.72,"Non-social"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12",3,0.685,"Non-social"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12",4,0.521,"Non-social"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12",5,0.319,"Social"
"04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12",6,0.107,"Social"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",1,0.438,"Non-social"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",2,0.812,"Non-social"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",3,0.742,"Non-social"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",4,0.5005,"Non-social"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",5,0.507,"Social"
"06593bf2-f310-46bb-8a43-9c72dc7811b0","6",6,0.645,"Social"
"06f52932-c87c-4815-adb9-52cc60998bd9","12",1,0.4545,"Non-social"
"06f52932-c87c-4815-adb9-52cc60998bd9","12",2,0.825,"Non-social"
"06f52932-c87c-4815-adb9-52cc60998bd9","12",3,0.6705,"Non-social"
"06f52932-c87c-4815-adb9-52cc60998bd9","12",4,0.622,"Non-social"
"06f52932-c87c-4815-adb9-52cc60998bd9","12",5,0.355,"Social"
"06f52932-c87c-4815-adb9-52cc60998bd9","12",6,0.5125,"Social"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6",1,0.685,"Non-social"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6",2,0.569,"Non-social"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6",3,0.3105,"Non-social"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6",4,0.947,"Non-social"
"08eee7ba-ef32-489d-9d25-e6cd14a0b267","6",5,0.595,"Social"
"095b6236-bad8-4356-8325-878f7a78c608","6",2,0.4285,"Non-social"
"095b6236-bad8-4356-8325-878f7a78c608","6",3,0.5725,"Non-social"
"095b6236-bad8-4356-8325-878f7a78c608","6",4,0.627,"Non-social"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12",2,0.6435,"Non-social"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12",3,0.3845,"Non-social"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12",4,0.529,"Non-social"
"0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12",5,0.23,"Social"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6",1,0.348,"Non-social"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6",2,0.865,"Non-social"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6",3,0.322,"Non-social"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6",4,0.457,"Non-social"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6",5,0.5495,"Social"
"14bde937-9452-4ae0-a0ce-8553c2aa41e5","6",6,0.5845,"Social"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12",1,0.6205,"Non-social"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12",2,0.512,"Non-social"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12",3,0.5235,"Non-social"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12",4,0.5745,"Non-social"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12",5,0.5285,"Social"
"18088fc2-ebda-40ff-a630-70ffa64a67ea","12",6,0.733,"Social"
"1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12",2,0.5435,"Non-social"
"1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12",3,0.3835,"Non-social"
"1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12",4,0.427,"Non-social"
"1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12",6,0.678,"Social"
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12",1,0.4865,"Non-social"
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12",3,0.496,"Non-social"
"1b9291ee-7904-4319-a182-222c2f7e9ddb","12",6,0.5615,"Social"
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12",1,0.462,"Non-social"
"1c0a5b8d-7617-42eb-a1f4-71e8d2c8f51e","12",2,0.724,"Non-social"
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6",1,0.401,"Non-social"
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6",2,0.5715,"Non-social"
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6",3,0.706,"Non-social"
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6",4,0.587,"Non-social"
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6",5,0.44,"Social"
"1d11ddd0-c1f0-4d87-b732-f16083f88e22","6",6,0.845,"Social"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12",1,0.5375,"Non-social"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12",2,0.722,"Non-social"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12",3,0.594,"Non-social"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12",4,0.347,"Non-social"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12",5,0.5205,"Social"
"1da22c85-469f-44c2-9bb3-312daf3b21a5","12",6,0.5845,"Social"
"2422cca0-c228-4211-86c5-809afbcc7a4d","12",1,0.689,"Non-social"
"2422cca0-c228-4211-86c5-809afbcc7a4d","12",2,0.73,"Non-social"
"2422cca0-c228-4211-86c5-809afbcc7a4d","12",5,0.596,"Social"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12",1,0.678,"Non-social"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12",2,0.5245,"Non-social"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12",3,0.715,"Non-social"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12",4,0.6255,"Non-social"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12",5,0.452,"Social"
"257e85c7-6ba9-45b5-98da-5cd61b51b694","12",6,0.6045,"Social"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12",1,0.534,"Non-social"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12",2,0.6255,"Non-social"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12",3,0.4825,"Non-social"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12",4,0.483,"Non-social"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12",5,0.5195,"Social"
"293e9cd5-1fc6-4950-afd2-7929b83e0d4a","12",6,0.634,"Social"
"2ac97100-84f4-4172-a88f-82e8e886ea58","12",2,0.5655,"Non-social"
"2ac97100-84f4-4172-a88f-82e8e886ea58","12",3,0.367,"Non-social"
"2ac97100-84f4-4172-a88f-82e8e886ea58","12",5,0.6205,"Social"
"2ac97100-84f4-4172-a88f-82e8e886ea58","12",6,0.328,"Social"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12",1,0.3975,"Non-social"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12",2,0.253,"Non-social"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12",3,0.6045,"Non-social"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12",4,0.582,"Non-social"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12",5,0.301,"Social"
"2e9bcba0-31d6-48ef-9ec8-04ccbc838ff9","12",6,0.477,"Social"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6",1,0.593,"Non-social"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6",2,0.586,"Non-social"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6",3,0.6105,"Non-social"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6",4,0.528,"Non-social"
"2f184f61-d2b2-423c-bed5-027b0514aebd","6",5,0.589,"Social"
"2f9f948f-d9da-40f2-b5b1-247207217245","12",1,0.653,"Non-social"
"2f9f948f-d9da-40f2-b5b1-247207217245","12",2,0.6785,"Non-social"
"2f9f948f-d9da-40f2-b5b1-247207217245","12",3,0.514,"Non-social"
"2f9f948f-d9da-40f2-b5b1-247207217245","12",4,0.3935,"Non-social"
"2f9f948f-d9da-40f2-b5b1-247207217245","12",5,0.795,"Social"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6",1,0.323,"Non-social"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6",2,0.5905,"Non-social"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6",3,0.596,"Non-social"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6",4,0.6825,"Non-social"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6",5,0.656,"Social"
"31166c21-7fcb-4d7f-b606-1ce38fbea56f","6",6,0.5275,"Social"
"3253da16-238b-4f45-8610-dff84aa897d4","6",1,0.573,"Non-social"
"3253da16-238b-4f45-8610-dff84aa897d4","6",2,0.6445,"Non-social"
"3253da16-238b-4f45-8610-dff84aa897d4","6",3,0.6925,"Non-social"
"3253da16-238b-4f45-8610-dff84aa897d4","6",4,0.5595,"Non-social"
"3253da16-238b-4f45-8610-dff84aa897d4","6",5,0.711,"Social"
"3253da16-238b-4f45-8610-dff84aa897d4","6",6,0.48,"Social"
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12",1,0.452,"Non-social"
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12",2,0.5735,"Non-social"
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12",3,0.451,"Non-social"
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12",4,0.6625,"Non-social"
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12",5,0.656,"Social"
"33f4dfee-b330-49b3-a70d-c5497436bfe9","12",6,0.5115,"Social"
"388e70f5-902e-4197-9bf0-61e5f32de097","12",1,0.63,"Non-social"
"388e70f5-902e-4197-9bf0-61e5f32de097","12",2,0.701,"Non-social"
"388e70f5-902e-4197-9bf0-61e5f32de097","12",3,0.584,"Non-social"
"388e70f5-902e-4197-9bf0-61e5f32de097","12",4,0.7515,"Non-social"
"388e70f5-902e-4197-9bf0-61e5f32de097","12",5,0.5755,"Social"
"388e70f5-902e-4197-9bf0-61e5f32de097","12",6,0.438,"Social"
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6",3,0.8135,"Non-social"
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6",4,0.4255,"Non-social"
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6",5,0.186,"Social"
"3f6f99f8-1ba6-4ce5-8a38-0e0179620eac","6",6,0.6615,"Social"
"3f7b7e18-3928-4322-9742-edbcbf580aeb","6",1,0.294,"Non-social"
"3f7b7e18-3928-4322-9742-edbcbf580aeb","6",3,0.945,"Non-social"
"3f7b7e18-3928-4322-9742-edbcbf580aeb","6",5,0.4255,"Social"
"3f7b7e18-3928-4322-9742-edbcbf580aeb","6",6,0.391,"Social"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6",1,0.4765,"Non-social"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6",2,0.7385,"Non-social"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6",3,0.219,"Non-social"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6",4,0.21,"Non-social"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6",5,0.33,"Social"
"47306b3d-3f47-4fa4-853f-d4adbd50ba6c","6",6,0.437,"Social"
"48444209-fd3a-4173-8854-366e6f1bb582","12",1,0.4075,"Non-social"
"48444209-fd3a-4173-8854-366e6f1bb582","12",3,0.8735,"Non-social"
"48444209-fd3a-4173-8854-366e6f1bb582","12",4,0.56,"Non-social"
"48444209-fd3a-4173-8854-366e6f1bb582","12",5,0.6215,"Social"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12",1,0.5555,"Non-social"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12",2,0.433,"Non-social"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12",3,0.781,"Non-social"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12",4,0.2705,"Non-social"
"484c17b3-9364-461b-80e7-1e3a2715ee8e","12",5,0.4955,"Social"
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6",2,0.424,"Non-social"
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6",3,0.862,"Non-social"
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6",4,0.989,"Non-social"
"4e025f99-b4fa-41d9-8ad9-824b9d88d2d9","6",5,0.7975,"Social"
"541b92ea-6a83-4026-b6ff-72575cba1785","12",1,0.573,"Non-social"
"541b92ea-6a83-4026-b6ff-72575cba1785","12",2,0.682,"Non-social"
"541b92ea-6a83-4026-b6ff-72575cba1785","12",3,0.4925,"Non-social"
"541b92ea-6a83-4026-b6ff-72575cba1785","12",4,0.763,"Non-social"
"541b92ea-6a83-4026-b6ff-72575cba1785","12",5,0.783,"Social"
"541b92ea-6a83-4026-b6ff-72575cba1785","12",6,0.753,"Social"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6",1,0.5945,"Non-social"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6",2,0.434,"Non-social"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6",3,0.582,"Non-social"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6",4,0.576,"Non-social"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6",5,0.8005,"Social"
"542a740b-12ca-43b1-96a0-6b2c2142d327","6",6,0.5295,"Social"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12",2,0.5725,"Non-social"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12",3,0.7685,"Non-social"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12",4,0.62,"Non-social"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12",5,0.946,"Social"
"5695668c-eb3e-4156-8fe9-8c8615c26a4a","12",6,0.919,"Social"
"5864ecf2-7993-4712-9177-f4feeab105ea","12",1,0.5895,"Non-social"
"5864ecf2-7993-4712-9177-f4feeab105ea","12",2,0.7415,"Non-social"
"5864ecf2-7993-4712-9177-f4feeab105ea","12",3,0.603,"Non-social"
"5864ecf2-7993-4712-9177-f4feeab105ea","12",4,0.729,"Non-social"
"5864ecf2-7993-4712-9177-f4feeab105ea","12",5,0.429,"Social"
"5864ecf2-7993-4712-9177-f4feeab105ea","12",6,0.588,"Social"
"5a7ea095-c369-46ce-9b7e-5538504dce52","6",1,0.5055,"Non-social"
"5a7ea095-c369-46ce-9b7e-5538504dce52","6",2,0.8345,"Non-social"
"5a7ea095-c369-46ce-9b7e-5538504dce52","6",3,0.752,"Non-social"
"5a7ea095-c369-46ce-9b7e-5538504dce52","6",4,0.701,"Non-social"
"5a7ea095-c369-46ce-9b7e-5538504dce52","6",5,0.696,"Social"
"5a7ea095-c369-46ce-9b7e-5538504dce52","6",6,0.2455,"Social"
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12",1,0.346,"Non-social"
"5ec484d7-b2e0-47ab-ab9a-34290f15cfcc","12",2,0.484,"Non-social"
"623e1a76-c6b1-4069-a73e-d24df01bc069","12",1,0.47,"Non-social"
"623e1a76-c6b1-4069-a73e-d24df01bc069","12",2,0.6655,"Non-social"
"623e1a76-c6b1-4069-a73e-d24df01bc069","12",3,0.558,"Non-social"
