"response_uuid","Trial","Usable frames (%)","has_icatcher","icatcher_file_names"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","1",0.881,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","10",0.781,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","11",0.477,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","12",0.722,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","13",0.404,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","14",0.609,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","15",0.768,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","16",0.709,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","17",0.762,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","18",0.517,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","19",0.331,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","2",0.775,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
"004732ad-6b7f-4b0c-861b-48fe2a7f3287","20",0.603,TRUE,"13-test-trial-3_004732ad-6b7f-4b0c-861b-48fe2a7f3287_1690315723624_905.txt"
