Subject ID,Parent ID,Child ID,Parent Global ID,Child Global ID,response_uuid,Gender,Age,Response ID Retest,cohort
2001,dU4NPG,UTJYU7,492ab608-68b3-4813-af48-748fc8a7fc5f,5867e169-70d2-43eb-a921-65d59e373aad,004732ad-6b7f-4b0c-861b-48fe2a7f3287,F,6,2526cc31-5fcf-4001-871c-1de71a25098e,NT
2002,PEXT2V,HUKLcY,120dd6b3-59c1-46bf-96a0-10ca11df89bf,c0f5a8c5-f331-4d60-82f2-ea2f982c745d,e6681ec0-8580-4c90-8b78-ba2eda235b24,F,6,417ad402-551a-4059-a0c9-341833b09455,NT
2003,X4HEVW,BQMLKW,784542cf-679c-4e28-801a-87e8db75dc6b,6a1d07d9-6cd1-4e63-ae7d-4eddf453bb11,541b92ea-6a83-4026-b6ff-72575cba1785,M,12,1980cf63-b2ee-4910-8568-aa308fa76638,NT
2004,LHFQ5F,FNRDDY,1d5d5e10-512b-412a-97a0-0a059f6ab67d,436670dd-94f6-4d12-b20d-ba6059dd43ee,dc3c6949-7b99-48b7-8ac5-110a1881f338,F,6,fa83f7bc-7a0f-4108-a896-0c5e7a8dc21f,NT
2005,FUT6YS,YZKFBE,6283135b-52f0-44e3-b031-0dc2739fc062,f67333d7-0e4d-4c9f-a6d7-1f0c3d6917b8,b3281ac1-0414-4b63-884a-00770a2c0498,F,6,6f651dd9-f14e-4cd4-9a04-c05149848020,NT
2006,H4XL6C,77PWX3,907e09e6-507e-4e0e-88d7-7a6b3b8db128,e47cc8f9-9f6c-4866-a417-01e21be171a0,924bd4e6-f346-4f1a-9c6b-c6db75dd7afb,F,6,2858a4f1-34bd-43fe-82c6-4598be5f9d2c,NT
2007,HDDE36,E3SXGN,7b3498f5-5d1c-4b25-9fd8-81f5d555a980,9a125741-0666-4133-bb04-38bdc8221b22,623e1a76-c6b1-4069-a73e-d24df01bc069,F,12,fbd60c41-7084-4c52-9f59-6e17f639c88f,NT
2008,FBEM5Y,4cTcKc,55df9327-a729-4489-a44a-9a5383776d79,e0ba9990-f38a-4e61-84e5-1270fad7eb4c,47306b3d-3f47-4fa4-853f-d4adbd50ba6c,M,6,01e42aff-e8ce-4aac-b193-2a5fb09188fc,NT
2011,P7WQdY,XcU5HG,cb6e406f-a0d7-47c4-b0d3-fc4854e38f1f,10f39011-c80a-4ba7-ae15-52dc28ed2998,948f9377-b3b7-4910-87d6-b64eeee52434,M,6,NA,NT
2012,ddAWcd,R2EFWG,54b6a077-b366-4469-931b-5d8629a248c2,d9de556e-4313-4ddd-9083-9692ab7d7c74,dff41178-de67-4642-b884-f99a16e49bb5,F,12,c0133a94-43b9-44c9-a3c3-1809a4561d53,NT
2013,QXXRWD,AKL6QT,99e0fa7b-adc2-47a4-8a3b-93fbeef0d329,c41274cb-759b-477e-be88-416a693310f7,0da636ec-fbd5-4f6b-9b7d-5fa0416da284,F,12,e3503578-3e63-490b-bf33-ba63d2ffb885,NT
2014,SX3XNZ,XJA347,e7bfb7b0-c42b-42a6-abd1-f0cc7afefdc3,fcd296ea-4df8-4b6f-9a08-096d46b90540,b9679102-1cee-4edb-9cd4-00f0aba34ed2,F,6,21303416-cb0d-45ce-971f-144414d62e66,NT
2015,UULJKZ,cTER7F,e77537cc-3dfb-42ae-bd07-90b92627f899,430bfd33-c005-412d-bda8-eb8392dd213e,a41efa95-31e9-4d20-ac63-5662316bd7e5,F,6,959200c6-8975-4399-89c8-3e5a633b73c1,NT
2016,PRcMTL,JGMYCU,fc91a5b3-48ff-4ce1-96c2-a1e2e86ff733,4a600eab-603c-49f4-ab52-d73a4d42b003,2ac97100-84f4-4172-a88f-82e8e886ea58,M,12,a46708da-20da-44b6-9e68-1d68bb1da72f,NT
2018,U4HYWV,YYNJ5H,ca4e4334-6512-4473-b5b3-5704b7f0f4b4,0fc744bd-c8ff-4c7d-823b-2f84e1abf9c8,2817e5e3-7bf5-45c3-b800-2e0ddc4ed608,M,6,NA,NT
2019,2CGAQD,C7RXBE,136fb84f-db50-438a-a07d-bc52de501ccb,7dfdb2d6-72be-445d-897c-c7ed48959ddb,2b882a59-5857-481e-bda7-cdff7bd8f56e,F,12,da5b4423-75f5-415e-8220-c5aa701331eb,NT
2020,6CMGPW,YEFPW6,5dd544df-cf5d-4698-b0cf-1afe557d5331,f28c8100-d9b7-4722-8665-45ad9d24a8eb,1da22c85-469f-44c2-9bb3-312daf3b21a5,M,12,NA,NT
2022,V75WLW,MUc2RL,4e5a739a-2fd7-4a37-953c-9f0dae0fd780,52e59a8f-f522-4d5f-bc50-2f5d8d33ae00,25c12ba4-d8c9-4e68-8309-cba774c947db,F,6,NA,NT
2023,G53YFK,T6FZCM,bfc43f3d-f01e-4263-b2b4-76d285b5e29e,58f2c04b-624b-4e80-a142-8e9daeed66e4,500df8d0-a283-43bd-b60b-dd291f0484b0,M,12,8e65f252-8687-40dd-92c6-583e50316945,NT
2025,ACBcKM,2AGPPK,ddf0ddc0-93b7-443a-a2a0-bf2ba02593ef,9c1eaa15-0760-428d-bfb3-2906a8533fce,fe6911e1-a286-40df-8612-75b2ede311be,M,12,NA,NT
2027,PWGQVC,JHX6c3,dd0970ff-bad2-4ef9-9fac-725d6fded474,d3f89899-3196-4c38-8476-19aab5d71459,dacfde24-e3b3-475d-9cc1-8fe285c3ebda,O,6,NA,NT
2028,56ZYU5,AdCN4c,f492bf15-1035-42cd-8d9b-3bd79beb77ed,499c9d48-6d91-4c3b-8f78-09647895c0fa,8a362df5-0bae-43b3-a757-fd160cf111aa,F,6,eabbbbe0-b4c0-4c85-af53-2a2e7bc45b6f,NT
2029,EVVZTM,35KMZC,173c4074-1b18-4293-a9ad-59cd2f012606,ff5a6247-01e4-41e6-bc18-fdcef61aebaf,5864ecf2-7993-4712-9177-f4feeab105ea,M,12,a4febd0f-7bff-4273-b3df-9b709c02605d,NT
2030,EXNBXS,GV7DDT,fbdd70c4-fbd0-4668-ab2f-ada7f2592d27,609c317d-23e0-439f-b17a-ef72fc337cb1,2f9f948f-d9da-40f2-b5b1-247207217245,M,12,e41df9d1-7f5d-4631-a8c4-6d85e38bfb66,NT
