"","response_uuid","Age","Trial","Usable frames (%)","person_good"
"1","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","1",0.786666666666667,0.796610169491525
"2","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","2",0.773333333333333,0.887931034482759
"3","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","3",0.87248322147651,0.961538461538462
"4","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","4",0.966666666666667,0.544827586206897
"5","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","5",0.94078947368421,0.58041958041958
"6","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","6",0.960264900662252,0.531034482758621
"7","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","7",0.993377483443709,0.866666666666667
"8","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","8",0.986577181208054,0.761904761904762
"9","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","9",0.960526315789474,0.842465753424658
"10","004732ad-6b7f-4b0c-861b-48fe2a7f3287","6","10",0.863387978142076,0.740506329113924
"11","036015a7-933e-4753-84c7-c76bec88a304","12","1",0.92,0.355072463768116
"12","036015a7-933e-4753-84c7-c76bec88a304","12","2",0.833333333333333,0.4
"13","036015a7-933e-4753-84c7-c76bec88a304","12","3",0.731543624161074,0.275229357798165
"14","036015a7-933e-4753-84c7-c76bec88a304","12","4",0.84,0.285714285714286
"15","036015a7-933e-4753-84c7-c76bec88a304","12","5",0.960526315789474,0.315068493150685
"16","036015a7-933e-4753-84c7-c76bec88a304","12","6",0.80794701986755,0.80327868852459
"17","036015a7-933e-4753-84c7-c76bec88a304","12","7",0.503311258278146,0.31578947368421
"18","036015a7-933e-4753-84c7-c76bec88a304","12","8",0.711409395973154,0.481132075471698
"19","036015a7-933e-4753-84c7-c76bec88a304","12","9",0.644736842105263,0.122448979591837
"20","036015a7-933e-4753-84c7-c76bec88a304","12","10",0.819672131147541,0.06
"21","036e33eb-cca7-4d18-ab55-63c4c489229a","6","1",0.786666666666667,0.610169491525424
"22","036e33eb-cca7-4d18-ab55-63c4c489229a","6","2",0.986666666666667,0.574324324324324
"23","036e33eb-cca7-4d18-ab55-63c4c489229a","6","3",0.906040268456376,0.407407407407407
"24","036e33eb-cca7-4d18-ab55-63c4c489229a","6","4",0.9,0.392592592592593
"25","036e33eb-cca7-4d18-ab55-63c4c489229a","6","5",0.980263157894737,0.953020134228188
"26","036e33eb-cca7-4d18-ab55-63c4c489229a","6","6",0.986754966887417,0.463087248322148
"27","036e33eb-cca7-4d18-ab55-63c4c489229a","6","7",0.688741721854305,0.980769230769231
"28","036e33eb-cca7-4d18-ab55-63c4c489229a","6","8",0.865771812080537,0.503875968992248
"29","036e33eb-cca7-4d18-ab55-63c4c489229a","6","9",0.927631578947368,0.865248226950355
"30","036e33eb-cca7-4d18-ab55-63c4c489229a","6","10",0.945355191256831,0.815028901734104
"31","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","1",0.973333333333333,0.616438356164384
"32","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","2",0.746666666666667,0.830357142857143
"33","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","3",0.959731543624161,0.986013986013986
"34","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","4",0.946666666666667,0.725352112676056
"35","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","5",0.947368421052632,0.9375
"36","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","8",0.979865771812081,0.773972602739726
"37","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","9",0.901315789473684,0.795620437956204
"38","04d5f486-93c0-4fa9-b2f8-d0abdef53e6c","12","10",0.672131147540984,0.796747967479675
"39","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","1",0.946666666666667,0.887323943661972
"40","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","2",0.946666666666667,0.528169014084507
"41","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","3",0.966442953020134,0.881944444444444
"42","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","4",0.966666666666667,0.262068965517241
"43","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","5",0.894736842105263,0.823529411764706
"44","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","6",0.880794701986755,0.616541353383459
"45","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","7",0.973509933774834,0.836734693877551
"46","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","8",0.959731543624161,0.58041958041958
"47","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","9",0.960526315789474,0.931506849315068
"48","06593bf2-f310-46bb-8a43-9c72dc7811b0","6","10",0.901639344262295,0.678787878787879
"49","06f52932-c87c-4815-adb9-52cc60998bd9","12","1",0.94,0.312056737588652
"50","06f52932-c87c-4815-adb9-52cc60998bd9","12","2",0.993333333333333,0.476510067114094
"51","06f52932-c87c-4815-adb9-52cc60998bd9","12","4",0.906666666666667,0.448529411764706
"52","06f52932-c87c-4815-adb9-52cc60998bd9","12","5",0.947368421052632,0.763888888888889
"53","06f52932-c87c-4815-adb9-52cc60998bd9","12","6",0.887417218543046,0.753731343283582
"54","06f52932-c87c-4815-adb9-52cc60998bd9","12","8",0.979865771812081,0.815068493150685
"55","06f52932-c87c-4815-adb9-52cc60998bd9","12","10",0.907103825136612,0.807228915662651
"56","08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","1",0.8,0.6
"57","08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","2",0.873333333333333,0.572519083969466
"58","08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","4",0.74,0.27027027027027
"59","08eee7ba-ef32-489d-9d25-e6cd14a0b267","6","7",0.543046357615894,0.707317073170732
"60","095b6236-bad8-4356-8325-878f7a78c608","6","2",0.86,0.682170542635659
"61","095b6236-bad8-4356-8325-878f7a78c608","6","3",0.946308724832215,0.978723404255319
"62","095b6236-bad8-4356-8325-878f7a78c608","6","4",0.986666666666667,0.682432432432432
"63","095b6236-bad8-4356-8325-878f7a78c608","6","5",0.848684210526316,0.89922480620155
"64","095b6236-bad8-4356-8325-878f7a78c608","6","6",0.576158940397351,0.942528735632184
"65","095b6236-bad8-4356-8325-878f7a78c608","6","7",0.913907284768212,0.746376811594203
"66","095b6236-bad8-4356-8325-878f7a78c608","6","8",0.61744966442953,0.478260869565217
"67","095b6236-bad8-4356-8325-878f7a78c608","6","9",0.796052631578947,0.818181818181818
"68","095b6236-bad8-4356-8325-878f7a78c608","6","10",0.595628415300546,0.91743119266055
"69","0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","2",0.546666666666667,0.902439024390244
"70","0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","4",0.966666666666667,0.731034482758621
"71","0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","5",0.947368421052632,0.868055555555556
"72","0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","6",0.966887417218543,0.787671232876712
"73","0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","7",0.920529801324503,0.776978417266187
"74","0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","8",0.919463087248322,0.795620437956204
"75","0da636ec-fbd5-4f6b-9b7d-5fa0416da284","12","9",0.927631578947368,0.872340425531915
"76","14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","2",0.906666666666667,0.294117647058824
"77","14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","3",0.87248322147651,0.684615384615385
"78","14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","4",0.84,0.849206349206349
"79","14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","5",0.960526315789474,0.904109589041096
"80","14bde937-9452-4ae0-a0ce-8553c2aa41e5","6","6",0.549668874172185,0.939759036144578
"81","18088fc2-ebda-40ff-a630-70ffa64a67ea","12","4",0.36,0.5
"82","18088fc2-ebda-40ff-a630-70ffa64a67ea","12","5",0.782894736842105,0.773109243697479
"83","18088fc2-ebda-40ff-a630-70ffa64a67ea","12","10",0.6775956284153,0.395161290322581
"84","19397c83-6941-4f2e-8067-60e5655c55a1","12","1",0.826666666666667,0.709677419354839
"85","19397c83-6941-4f2e-8067-60e5655c55a1","12","2",0.953333333333333,0.783216783216783
"86","19397c83-6941-4f2e-8067-60e5655c55a1","12","3",0.986577181208054,0.687074829931973
"87","19397c83-6941-4f2e-8067-60e5655c55a1","12","4",0.96,0.756944444444444
"88","195d5246-ee70-4487-9d09-8d13249e2f10","12","2",0.74,0.414414414414414
"89","195d5246-ee70-4487-9d09-8d13249e2f10","12","3",0.939597315436242,0.264285714285714
"90","195d5246-ee70-4487-9d09-8d13249e2f10","12","4",0.92,0.188405797101449
"91","195d5246-ee70-4487-9d09-8d13249e2f10","12","5",0.671052631578947,0.205882352941176
"92","195d5246-ee70-4487-9d09-8d13249e2f10","12","7",0.615894039735099,0.505376344086022
"93","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12","1",0.84,0.706349206349206
"94","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12","2",0.906666666666667,0.794117647058823
"95","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12","6",0.635761589403974,0.78125
"96","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12","9",0.901315789473684,0.992700729927007
"97","1afcb3c4-2834-4ba8-bb46-e4d987cb35ec","12","10",0.868852459016393,0.861635220125786
"98","1b9291ee-7904-4319-a182-222c2f7e9ddb","12","2",0.94,0.645390070921986
"99","1b9291ee-7904-4319-a182-222c2f7e9ddb","12","4",0.946666666666667,0.443661971830986
